EN,BM,中文,EN,BM,中文,,,,,,,,,
"Butcher, Meat Cutter","Penjual daging, Pemotong Daging",屠夫,"Butcher, Meat Cutter - Retail Shop","Penjual Daging, Daging Cutter - Kedai Runcit",屠夫 - 零售店,,0,1.25,1,1,,,,
"Butcher, Meat Cutter","Penjual daging, Pemotong Daging",屠夫,"Butcher, Meat Cutter - Slaughter House, Packing House","Penjual Daging, Daging Cutter- Rumah Penyembelihan, rumah pembungkus",屠夫 - 屠宰场，包装场,,0,1.25,1,1,,,,
Candle Maker,Pembuatan Lilin,蜡烛制作者,Candle Maker,Pembuatan Lilin,蜡烛制作者,,0,1,1,1,,,,
"Canning, Pickling & Preserving Factories","Pengetinan, penjerukan & Peliharaan Kilang",罐头，腌渍和腌制工厂,"Boner, Corker, Cutter, Dresser, Opener, Pickler, Salter, Slicer, Smoker","Pengalihan Tulang, Corker, Pemotong,Perias, Pembuka, Penjerukkan, Pengaraman,Pembelahan nipis,Pengasapan",剔骨，瓶塞，切割，佐料，开罐，腌渍，撒盐，切片，熏制,,0,1.25,1,1,,,,
"Canning, Pickling & Preserving Factories","Pengetinan, penjerukan & Peliharaan Kilang",罐头，腌渍和腌制工厂,"Box & Crate Maker, Filler, Labeler, Packer, Sterilizer","Penghasilan Kotak, pengisi, pelabelan, pembungkus, Pensterilan",纸箱制造，填料，贴标，包装，消毒,,0,1,1,1,,,,
"Canning, Pickling & Preserving Factories","Pengetinan, penjerukan & Peliharaan Kilang",罐头，腌渍和腌制工厂,"Fruit, Vegetable Worker",Pekerja Buahan dan sayuran ,水果及蔬菜工人,,0,1,1,1,,,,
"Canning, Pickling & Preserving Factories","Pengetinan, penjerukan & Peliharaan Kilang",罐头，腌渍和腌制工厂,Truckers,Pemandu lori ,卡车司机,,0,1.25,1,1.3,,,,
Canteen Assistant,Penolong kantin,食堂助理,Canteen Assistant,Penolong kantin,食堂助理,,0,1,1,1,,,,
Car Park Attendant,Pengendali Tempat Letak kereta,停车场服务员,Car Park Attendant - Inside Building ,Pengendali Tempat Letak kereta- Dalam Bangunan ,停车场服务员 - 室内,,0,1,1,1,,,,
Car Park Attendant,Pengendali Tempat Letak kereta,停车场服务员,Car Park Attendant - Outside Building ,Pengendali Tempat Letak kereta-Luar Bangunan,停车场服务员 - 户外,,0,1.25,1,1,,,,
Carpenter,Tukang Kayu,木匠,Carpenter - Not Using Electric Machinery,Tukang Kayu - Tidak menggunakan jentera elektrik ,木匠 - 不使用电机,,0,1.25,1,1,,,,
Carpenter,Tukang Kayu,木匠,Carpenter - On Construction Site,Tukang Kayu - Di Tapak pembinaan ,木匠 - 工地,,0,1.25,1,1.3,,,,
Carpenter,Tukang Kayu,木匠,Carpenter - Using Electric Machinery,Tukang Kayu - Menggunakan jentera elektrik,木匠 - 使用电机,,0,1.5,1,1,,,,
Cashier,Juruwang,收银员,"Cashier - Bank, Building Society, Office ","Juruwang- Bank, Bangunan Pembangunan Msayarakat, Pejabat",收银员 - 银行，建筑协会，办公室,,0,1,1,1,,,,
Cashier,Juruwang,收银员,"Cashier - Cafe, Shop, Supermarket ","Juruwang -kafe, Kedai, Supermarket",收银员 - 咖啡厅，商店，超市,,0,1,1,1,,,,
Cashier,Juruwang,收银员,Cashier - General (Indoor),Juruwang- Umum (Dalaman),收银员 - 一般（室内）,,0,1,1,1,,,,
Casino,Kasino,赌场,"Card Dealer / Croupier, General Staff","Pengendali Kad, kakitangan AM ",发牌人 / 副主持人，普通职员,,0,1,1,1,,,,
Casino,Kasino,赌场,Cashier,Juruwang,收银员,,0,1,1,1,,,,
Casino,Kasino,赌场,"Operation Director, Management","Pengarah operasi, Pengurusan",运营总监,,0,1,1,1,,,,
Casino,Kasino,赌场,Security Guard (Unarmed),Pengawal Keselamatan (tidak bersenjata),保安人员（未武装）,,0,1,1,1,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,"Owner, Manager, Clerk (Office Work Only)","Pemilik, Pengurus, Kerani (Kerja pejabat sahaja)",老板，经理，文员（仅办公室工作）,,0,1,1,1,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,Foreman,Mandor ,工头,Male,0,1.5,1,1.3,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,Forewoman,Mandor ,女工头,Female,0,1.5,1,1.3,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,Furnace Operator ,Pengendali Relau,熔矿炉操作员,,0,1.5,1,1.3,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,Grave Digger ,Pengali Kubur ,掘墓人,,0,1.5,1,1.3,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,Labourer,Buruh,劳工,,2.5,D,D,D,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,Skilled Worker,Pekerja yang berkemahiran,熟练工人,,0,1.25,1,1.45,,,,
"Cement, Gypsum & Lime Manufacture","Pembuatan Simen, Gypsum & Lime ",水泥，石膏和石灰生产,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Charcoal Manufacture,Pembuatan Arang,木炭制作,Charcoal Burner & Other Skilled Labourer,Pembakar Arang & Pekerja Mahir Lain,木炭燃烧和其他技术工人,,0,1.25,1,1.3,,,,
Charcoal Manufacture,Pembuatan Arang,木炭制作,Labourer,Buruh,劳工,,2.5,1.25,1,1.45,,,,
Charcoal Manufacture,Pembuatan Arang,木炭制作,Supervisor,Penyelia,主管,,0,1,1,1,,,,
Chemist,Ahli Kimia ,化学家,Chemist (Non-Hazardous Duties),Ahli Kimia (Pekerjaan tidak berbahaya),化学家（非危险职责）,,0,1,1,1,,,,
Chemist,Ahli Kimia ,化学家,Laboratory Assistant ,Pembantu Makmal ,实验室助理,,0,1,1,1,,,,
Cinema,Pawagam,电影院,"Cleaner, Projectionist","Pengendali kebersihan, Projectionist",清洁工，投影师,,0,1,1,1,,,,
Cinema,Pawagam,电影院,"Manager, Ticket-Seller","Pengurus, Jurujual Tiket","经理, 售票员",,0,1,1,1,,,,
Cinema,Pawagam,电影院,Mechanic & Maintenance Man,Mekanik & Penyelenggaraan ,机械维修工,,0,1.25,1,1,,,,
Cinema,Pawagam,电影院,Usher,Usher,引座员,,0,1,1,1,,,,
Circus,Sarkas ,马戏团,"Acrobat, Animal Trainer, Trapeze, Fire Eater, Sword Swallower","Acrobat, Pelatih Haiwan, Trapeze, Pengendali Persembahan Api, persembahan menelan pedang ",杂技演员，动物训练员，空中飞人，吞火者，吞剑人,,10,D,D,D,,,,
Circus,Sarkas ,马戏团,Clerical & Managerial Worker,Kerani & Pekerja Pengurusanan,文书及管理人员,,0,1,1,1,,,,
Circus,Sarkas ,马戏团,Clown,Badut,小丑,,0,1,1,1,,,,
Circus,Sarkas ,马戏团,"Comedian, Magician, Puppeteer ","komedi, Ahli Silap Mata, Puppeteer ",喜剧演员，魔术师，木偶,,0,1,1,1,,,,
Circus,Sarkas ,马戏团,Dancer & Other Performer (No Stunt Act),Penari & Persembahan lain (Tiada Aksi Berbahaya),舞者及其他表演者（无特技表演）,,0,1,1,1,,,,
Civil And Services,Awam Dan Perkhidmatan,民事与服务,Civil And Services,Awam Dan Perkhidmatan,民事与服务,,0,1,1,1,,,,
Clock Shop,Kedai Jam ,钟表店,"Counter-Salesperson, Proprietor, Repairer","Kaunter-Penjual, Pemilik, Pembaikan",柜台 - 推销员，业主，修理工,,0,1,1,1,,,,
Cloth Weaver,Penenun Kain ,布织工,Cloth Weaver - Using Handloom Only,Penenun Kain - Tenunan mengunakan handloom sahaja,布织工 - 仅使用手摇纺织机,,0,1,1,1,,,,
Cloth Weaver,Penenun Kain ,布织工,Cloth Weaver - Using Machinery,Penenunan Baju - Mengunakan mesin sahaja,布织工 - 使用机械,,0,1.25,1,1,,,,
Clothing Manufacture,Kilang  Pakaian ,服装制造,"Cutter, Presser, Tailor, etc","Pemotong, Penekan, Tukang Jahit, etc",剪裁，挤压，裁缝等,,0,1,1,1,,,,
Clothing Manufacture,Kilang  Pakaian ,服装制造,"Manager, Proprietor","Pengurus, Pemilik",经理，业主,,0,1,1,1,,,,
Coach Builder,Jurulatih Bina Badan ,客车制造,Coach Builder,Jurulatih Bina Badan ,客车制造,,0,1.25,1,1,,,,
Cobbler,Tukang Kasut ,鞋匠,Cobbler - In Shop,Tukang Kasut- Dalam kedai,鞋匠 - 店内,,0,1,1,1,,,,
Cobbler,Tukang Kasut ,鞋匠,Roadside Cobbler,Tukang Kasut - Tepi jalan ,路边补鞋匠,,0,1,1,1,,,,
Coffee Shop / Cybercafe,Kedai kopi / Siber Kafe ,咖啡厅/网吧,Coffee Shop / Cybercafe - Assistant,Kedai Kopi / Siber Kafe - Pembantu ,咖啡厅/网吧 - 助理,,0,1,1,1,,,,
Coffee Shop / Cybercafe,Kedai kopi / Siber Kafe ,咖啡厅/网吧,Coffee Shop / Cybercafe - Proprietor,Kedai Kopi / Siber Kafe - Pemilik,咖啡厅/网吧 - 业主,,0,1,1,1,,,,
Coffin Maker,Pembuatan Keranda ,棺材制造商,Coffin Maker,Pembuatan Keranda,棺材制造商,,0,1.25,1,1,,,,
Cold Storage,Penyimpanan Beku,冷库,Cold Storage - Employee Who Enters Cold Room,Penyimpanan Beku - Pekerja yang memasuki Bilik Beku,冷库 - 冷库员工,,0,1,1,1,,,,
Cold Storage,Penyimpanan Beku,冷库,Ice Maker,Pembuatan Ais ,制冰,,0,1.25,1,1,,,,
Commercial Crime Office,Pejabat Jenayah Komersial,商业罪案办公室,Commercial Crime Office - Not In Uniform,Pejabat Jenayah Komersial ,商业罪案办公室 - 没穿制服,,0,1,1,1.3,,,,
Computer Industry,Industri Komputer ,电脑工业,"Manager, Clerk (Office Work Only)","Pengurus, Kerani (Kerja Pejabat sahaja)",经理，文员（办公室工作）,,0,1,1,1,,,,
Computer Industry,Industri Komputer ,电脑工业,Hardware Maintenance Worker,Pekerja Penyelenggaraan Perkakasan,硬件维护人员,,0,1,1,1,,,,
Computer Industry,Industri Komputer ,电脑工业,"Internet Entrepreneur, Internet Page Designer, Graphic Designer, Web Designer, Website Administrator, Website Developer","Usahawan Internet,Pereka Laman Internet, Pereka Grafik, pereka web, Pentadbir Laman Web, Pembangun Laman Web ",互联网创业者，互联网页面设计，平面设计师，网页设计师，网站管理员，网站开发,,0,1,1,1,,,,
Computer Industry,Industri Komputer ,电脑工业,"Mobile Developer, Programmer, Operator, System Analyst, Virtual Designers","Pembangun mudah alih, Programmer, Pengendali, Sistem Analisis, Pereka laman maya",移动开发者，程序员，操作员，系统分析员，虚拟设计,,0,1,1,1,,,,
Contractor,Kontraktor,承包商,Contractor (Office Work Only),Kontraktor (Pejabat Sahaja),承包商（办公室工作）,,0,1,1,1,,,,
Contractor,Kontraktor,承包商,Contractor - On-Site Supervision & Involving Manual Work,kontraktor - Penyelian di Tempat kerja dan melibatkan Kerja Manual,承包商 - 现场监督及参与劳动工作,,0,1.25,1,1,,,,
Contractor,Kontraktor,承包商,Contractor - On-Site Supervision But No Manual Work,kontraktor - Penyelian di Tempat kerja dan tanpa melibatkan Kerja Manual,承包商 - 现场监督，但没有劳动工作,,0,1,1,1,,,,
Copy-Writer,Copy-Writer,文字撰稿人,Copy-Writer,Copy-Writer,文字撰稿人,,0,1,1,1,,,,
Correctional Services,Perkhidmatan Pemulihan,改造服务,"Chief Officer, Prison Officer ","Ketua Pegawai, Pegawai Penjara",主任，监狱官,,0,1,1,1,,,,
Correctional Services,Perkhidmatan Pemulihan,改造服务,"Officer And Inspector (Preparation Of Reports, Office Duties)","Pegawai Dan Inspector (Penyediaan Laporan, Tugas Pejabat)",官员和督察（准备报告，办公室职责）,,0,1,1,1,,,,
Correctional Services,Perkhidmatan Pemulihan,改造服务,"Warden, Prison Warden","Warden, warden Penjara",典狱长，监狱长,,0,1,1,D,,,,
Correctional Services,Perkhidmatan Pemulihan,改造服务,Rank And File (Grade As Or Below Sergeant),Kedudukan Dan Fail (Gred atau diatas Sarjan),普通职工（级别等于或低于警长）,,0,1,1,D,,,,
Correctional Services,Perkhidmatan Pemulihan,改造服务,"Teacher, Coach","Guru, Jurulatih",教师，教练,,0,1,1,1,,,,
Court,Mahkamah ,法庭,"Judge, Translator, Magistrate, Judiciary, Officer, Court Registrar","Hakim, Penterjemah, Majistret, Kehakiman, Pegawai, Pendaftar Mahkamah",法官，翻译员，地方法官，司法部，官员，法院注册官,,0,1,1,1,,,,
Court,Mahkamah ,法庭,"Solicitor, Advocate, Barrister, Lawyer, Public Prosecutor, Legal Executive, Legal Assistant","Peguamcara, Peguambela, Pengacara, Pendakwa Raya, Eksekutif Undang-Undang, Pembantu Undang-Undang",诉状律师，辩护律师，大律师，律师，检察官，法律执行者，法律助理,,0,1,1,1,,,,
Customs & Excise,Kastam & Eksais,海关和消费,"Customs Officer, Inspector","Pegawai Kastam, Inspektor",海关官员，督察,,0,1,1,1,,,,
Customs & Excise,Kastam & Eksais,海关和消费,Rank And File (Grade As Or Below Sergeant),Kedudukan Dan Fail (Gred atau diatas Sarjan),普通员工（级别等于或低于警长）,,0,1,1,1,,,,
Dancers,Penari,舞者,Aerobic Instructors,Jurulatih Aerobik,健美操指导员,,0,1,1,1,,,,
Dancers,Penari,舞者,"Dance Teacher, Dancer, Choreographer","Guru Tarian, Penari, Korografi",舞蹈老师，舞者，编舞家,,0,1,1,1,,,,
Dancers,Penari,舞者,Show Dancers (Night Club & Bars),Penari Persembahan (Kelab Malam & Bar),表演舞者（夜总会和酒吧）,,2.5,1.25,1,1.3,,,,
Dancers,Penari,舞者,Show Dancers (Not In Night Clubs & Bars),Penari persembahan (Bukan pada Kelab Malam &Bar),表演舞者（不在夜总会和酒吧）,,0,1,1,1,,,,
Debt Collector,Pengumpul Hutang ,收债员,Debt Collector - Licensed,Pengumpul Hutang - Berlesen,收债员 - 有执照,,0,1,1,1,,,,
Debt Collector,Pengumpul Hutang ,收债员,"Debt Collector - Door-To-Door, Freelance","Pengumpul Hutang - Pintu ke pintu, Freelance",收债员 - 上门，自由业,,2.5,1.25,1,D,,,,
Debt Collector,Pengumpul Hutang ,收债员,Rent Collector,Pengumpul sewa,收租员,,0,1,1,1,,,,
"Decorator, Interior","Penghias, dalaman",装饰，室内装饰,"Decorator, Interior - Consulting Duties Only ","Penghias, dalaman - Perunding  Sahaja",装饰，室内装饰 - 咨询职责,,0,1,1,1,,,,
"Decorator, Interior","Penghias, dalaman",装饰，室内装饰,"Paperhanger, Indoor Only","Paperhanger, dalaman Sahaja ",室内纸贴,,0,1,1,1,,,,
"Decorator, Interior","Penghias, dalaman",装饰，室内装饰,"Plaster Ceiling Worker, Other Skilled Worker","Plaster siling Pekerja, Lain Pekerja Mahir",石膏天花板工人，其他技术工人,,0,1.25,1,1.3,,,,
"Decorator, Interior","Penghias, dalaman",装饰，室内装饰,"Varnisher, Indoor Only","Varnish, Dalaman Sahaja",室内粉饰,,0,1,1,1,,,,
"Delivery, Express & Moving Companies","Penghantaran,Syarikat Perpindahan Segera",运送，快递和搬运公司,"Owner, Clerk (Office Work Only)","Pemilik, Kerani (Kerja pejabat sahaja)",业主，文员（办公室工作）,,0,1,1,1,,,,
"Delivery, Express & Moving Companies","Penghantaran,Syarikat Perpindahan Segera",运送，快递和搬运公司,"Courier, Document (DHL) - By Van ","Kurier, Dokumen (DHL) - Oleh Van",快递，文件（DHL） - 货车,,0,1,1,1,,,,
"Delivery, Express & Moving Companies","Penghantaran,Syarikat Perpindahan Segera",运送，快递和搬运公司,"Courier, Document - By Motorcycle ","Kurier, Dokumen - Oleh motosikal",快递，文件 - 摩托车,,1.0,1.25,D,1.45,,,,
"Delivery, Express & Moving Companies","Penghantaran,Syarikat Perpindahan Segera",运送，快递和搬运公司,Foreman,Mandor ,工头,Male,0,1,1,1,,,,
"Delivery, Express & Moving Companies","Penghantaran,Syarikat Perpindahan Segera",运送，快递和搬运公司,Forewoman,Mandor ,女工头,Female,0,1,1,1,,,,
"Delivery, Express & Moving Companies","Penghantaran,Syarikat Perpindahan Segera",运送，快递和搬运公司,"Furniture, Machinery, Piano & Safe Mover","Perabot, Jentera, Piano & Peralihan barang selamat ",家具，机械设备，钢琴及安全搬运,,0,1.25,1,1.3,,,,
Dental,Pergigian,牙科,"Dentist, Orthodontist, Consultant / Practitioner, Hygienist / Therapist, Periodontist","Doktor Gigi, Orthodontist, Perunding / Pengamal, Kebersihan / Terapi, Periodontist",牙医，牙齿矫正，顾问/医生，牙科保健/治疗师，牙周病医生,,0,1,1,1,,,,
Dental,Pergigian,牙科,Nurse & Orthodontist Technician,Jururawat dan ortodonti Jurutera,护士和牙齿矫正技术员,,0,1,1,D,,,,
Department Stores,Gedung Barangan ,百货商店,"Manager, Proprietor, Supervisor","Pengurus, Pemilik, Penyelia ",经理，业主，主管,,0,1,1,1,,,,
Department Stores,Gedung Barangan ,百货商店,"Salesperson, Promoter, Cashier","Jurujual, Juruwang, Promoter",营业员，促销员，收银员,,0,1,1,1,,,,
Designer / Design Manager,Pengurus Pereka / Reka bentuk ,设计师/设计经理,Designer,Pereka,设计师,,0,1,1,1,,,,
Diplomatic Service,Perkhidmatan Diplomatik,外交,Ambassador / Diplomat / Clerical Staff / Administrative,Duta / Diplomat / Kerani / Pentadbiran,大使/外交官/文员/行政,,0,1,1,1,,,,
Diplomatic Service,Perkhidmatan Diplomatik,外交,Embassy Security,Kesalamatan Kedutaan ,大使馆保安,,2.5,1.25,1,1.3,,,,
Disco,Disko,迪士哥,"Bartender, Bar Waiter","Bartender, Pelayan Bar",酒保，酒吧侍者,Male,0,1,1,D,,,,
Disco,Disko,迪士哥,"Bartender, Bar Waitress ","Bartender, Pelayan Bar",酒保，女酒吧侍者,Female,0,1,1,D,,,,
Disco,Disko,迪士哥,"Roller Disco D.J., Manager","Disko D.J., Pengurus",迪士哥唱片骑师，经理,,0,1,1,1,,,,
Diver - Amateur,Diver -Amatur,潜水员 - 业余,Diver - Average Depth >40M (>130Ft),Diver - Anggaran Kedalaman >40M (>130Ft),潜水员 - 平均深度> 40米（> 130尺）,,1.0,1.25,1,D,,,,
Diver - Amateur,Diver -Amatur,潜水员 - 业余,Diver - Average Depth Up To 40M (130Ft),Diver - Anggaran kedalaman sehingga 40M (130Ft),潜水员 - 平均深度可达40米（130尺）,,0,1,1,D,,,,
Diver - Professional,Diver - Professional,潜水员 - 专业,Diver - Average Depth >23M-45M (>75Ft-150Ft),Diver - Anggaran Kedalaman>23M-45M (>75Ft-150Ft),潜水员 - 平均深度> 23米 - 45米（> 75尺-150尺）,,5,D,D,D,,,,
Diver - Professional,Diver - Professional,潜水员 - 专业,Diver - Average Depth >45M-76M (>150Ft-250Ft),Diver -Anggaran kedalaman>45M-76M (>150Ft-250Ft),潜水员 - 平均深度> 45米 - 76米（> 150尺-250尺）,,5,D,D,D,,,,
Diver - Professional,Diver - Professional,潜水员 - 专业,Diver - Average Depth Up To 23M (75Ft),Diver - Anggaran Kedalaman sehingga 23M (75Ft),潜水员 - 平均深度可达23米（75尺）,,2.5,1,1,D,,,,
Diving Pool Diving (Professional),Penyelam Kolam (Professional),跳水池潜水（专业）,Diving Pool Diving (Professional) - Highboard ,Penyelam Kolam (Professional)-Papan ketinggian ,跳水池潜水（专业） - 高台,,0,1,1,D,,,,
Diving Pool Diving (Professional),Penyelam Kolam (Professional),跳水池潜水（专业）,Diving Pool Diving (Professional) - Springboard ,Penyelam Kolam (Professional)-Papan Loncatan,跳水池潜水（专业） - 跳板,,0,1,1,D,,,,
Dock,Dok,码头,Cargo-Handling Labourer,Kargo- Pengendalian Buruh,货物装卸工,,2.5,1.5,1,1.3,,,,
Dock,Dok,码头,"Forklift Operator, Stevedore","Forklift Operator, Stevedore",叉车操作员，装卸工,,0,1.25,1,1.45,,,,
Dock,Dok,码头,"Lighterman, Winchman","Lighterman, Pengendali Peralih Barangan",驳船夫，绞车工,,5,D,D,D,,,,
Dock,Dok,码头,"Office Clerk, Superintendent","Kerani Pejabat, Penguatkuasa",办公室文员，主管,,0,1,1,1,,,,
Dock,Dok,码头,Pilot (Harbour),Juruterbang  (Perlabuhan),领航员（海港）,,0,1,1,1,,,,
Dock,Dok,码头,"Ship Inspector, Cost Estimation Only","Inspektor Kapal, Penganggaran Kos Sahaja",验船督察，仅成本估算,,0,1,1,1,,,,
Dock,Dok,码头,"Ship Repairman, Painter","Pembaiki Kapal, Painter",船舶修理工，漆工,Male,2.5,1.25,1,1.3,,,,
Dock,Dok,码头,"Ship Repairwoman, Painter","Pembaiki Kapal, Painter",船舶修理工，漆工,Female,2.5,1.25,1,1.3,,,,
Dock,Dok,码头,Tally Clerk ,Kerani Tally,理货员,,0,1,1,1,,,,
Doctor,Doktor,医生,Doctor,Doktor,医生,,0,1,1,1,,,,
"Dog Catcher, Dog Handler",Penangkap/pengendali Anjing,捕犬者，训犬师,"Dog Catcher, Dog Handler",Penangkap/pengendali Anjing,捕犬者，训犬师,,0,1.25,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,"Babysitter, Manny",Pengasuh,保姆,Male,0,1,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,"Babysitter, Nanny, Amah","Pengasuh, Amah",保姆，奶妈,Female,0,1,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,"Butler, Chauffeur","Butler, Pemandu",管家，司机,,0,1,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,Confinement Lady,Confinement Lady,陪月妇,Female,0,1,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,"Cook, Gardener","tukang Masak, Pekebun",厨师，园丁,,0,1,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,Domestic Helper,Pembantu Domestic,家庭佣工,Male,0,1,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,"Domestic Helper, Maid","Pembantu Domestic, Pembantu Rumah ",家佣，女佣,Female,0,1,1,1,,,,
Domestic Helper / Servant,Pembantu Rumah / Orang Gaji ,家佣/仆人,Tea Lady,Tukang tea ,茶水助理,Female,0,1,1,1,,,,
Doorman (Other Than In Large 1st Class Hotel),Penjaga Pintu (Selain Hotel Kelas Pertama yang Besar),门童（大酒店除外）,Doorman (Other Than In Large 1st Class Hotel),Penjaga Pintu (Selain Hotel Kelas Pertama yang Besar),门童（大酒店除外）,Male,0,1,1,1,,,,
Doorman (Other Than In Large 1st Class Hotel),Penjaga Pintu (Selain Hotel Kelas Pertama yang Besar),女门童（大酒店除外）,Doorwoman (Other Than In Large 1st Class Hotel),Penjaga Pintu (Selain Hotel Kelas Pertama yang Besar),女门童（大酒店除外）,Female,0,1,1,1,,,,
"Dressmaker, Seamstress & Tailor",Pembuat Gaun & Tukang Jahit,裁缝,"Dressmaker, Seamstress & Tailor",Pembuat Gaun & Tukang Jahit,裁缝,,0,1,1,1,,,,
Dry-Cleaning & Dyeing,Pembersihan Kering & Pencelupan,干洗漂染 ,"Cleaner, Dyer, Presser, Working Proprietor","Pembersih, Pendye, Pemilikkan kerja ",清洁，漂染 ，压缩，工作业主,,0,1,1,1,,,,
Dry-Cleaning & Dyeing,Pembersihan Kering & Pencelupan,干洗漂染 ,Counter Staff & Supervisor,Kakitangan & Penyelia Kaunter,柜台人员及主管,,0,1,1,1,,,,
Editor,Penyunting,编辑,"Assistant Editor, Sub-Editor","Pembantu Penyunting, Sub-penyunting",助理编辑，副主编,,0,1,1,1,,,,
Editor,Penyunting,编辑,"Editor, Script Editor, Script Writer","Penyunting, Penyunting skrip, Penulis skrip",编辑，文稿编辑，文稿作者,,0,1,1,1,,,,
Editor,Penyunting,编辑,"Reporter, Photographer","Wartawan, Jurugambar",记者，摄影师,,0,1,1,1,,,,
Education,Pendidikan ,教育,"Academic Subjects, Kindergarten, Nursery","Subjek Akademik, Tadika, Asuahan ",学术科目，幼儿园，托儿所,,0,1,1,1,,,,
Education,Pendidikan ,教育,"Education Counsellor, Guidance Counsellor","Kaunselor Pendidikan, Kaunselor Bimbingan",教育辅导，教导辅导,,0,1,1,1,,,,
Education,Pendidikan ,教育,Music Teacher ,Guru muzik,音乐老师,,0,1,1,1,,,,
Education,Pendidikan ,教育,Physical Education Teacher - Non-Hazardous Sports,Guru Pendidikan Jasmani - Sukan Berbahaya,体育教师 - 非危险运动,,0,1,1,1,,,,
Education,Pendidikan ,教育,"Principal, Lecturer, Professor, Dean, Tutor","Pensyarah, Pensyarah, Profesor, Dekan, Tutor",校长，讲师，教授，院长，导师,,0,1,1,1,,,,
Education,Pendidikan ,教育,"Private Tutor, Tuition Teacher, Teacher","Tutor Persendirian, Guru Tuisyen, Guru",私人家教，补习老师，老师,,0,1,1,1,,,,
Electrical - Conduits & Tunnels,Elektrik - Saluran & Terowong ,电气 - 管道和隧道,"Cable-Splicer, Lineman, Troubleman, Transformer & Tunnel Worker, Labourer","Kabel-Splicer, Lineman, Jurulatih, Transformer & Terowong Pekerja, Buruh",电缆拼接，架线工，故障排除，变压，隧道工人，劳工,,5,D,D,D,,,,
"Electrical - Power Line Construction, Maintenance & Operation Of Overhead Lines","Elektrik - Pembinaan Penjana kuasa, Penyelenggaraan & Operasi Talian Overhead",电气 - 电力线路施工，架空线维护及操作,"Cable Splicer, Lineman & Troubleman / Trouble-Shooter, Labourer","Kabel Splicer, Lineman & Troubleman / Trouble-Shooter, Pekerja",电缆捻接，架线工及故障排除，劳工,,5,D,D,D,,,,
"Electrical - Power Line Construction, Maintenance & Operation Of Overhead Lines","Elektrik - Pembinaan Penjana kuasa, Penyelenggaraan & Operasi Talian Overhead",电气 - 电力线路施工，架空线维护及操作,"Inspector, Patrolman & Supervisor (Both Climbing Or Not Climbing Poles), Groundman & Pole-Setter","Inspektor, Patrolman & Penyelia (Kedua-dua Pendakian Atau Tidak mendaki), Tukang Tanah & Pemasangan Tiang",督工，巡工及主管（爬杆或不爬杆），地勤及设杠,,2.5,1.25,1,1.45,,,,
"Electrical - Power Line Construction, Maintenance & Operation Of Overhead Lines","Elektrik - Pembinaan Penjana kuasa, Penyelenggaraan & Operasi Talian Overhead",电气 - 电力线路施工，架空线维护及操作,Tower Erector Of Structural Iron,Pencawang Besi ,结构铁塔架,,5,D,D,D,,,,
"Electrical - Power-House, Sub Stations (Generating Over 250 Volts)","Elektrik - Kuasa Rumah, Stesen Sub (Menjana Lebih 250 Volt)",电气 - 发电站，分站（产生超过250伏特）,Chief Engineer ,Ketua Jurutera ,总工程师,,0,1,1,1,,,,
"Electrical - Power-House, Sub Stations (Generating Over 250 Volts)","Elektrik - Kuasa Rumah, Stesen Sub (Menjana Lebih 250 Volt)",电气 - 发电站，分站（产生超过250伏特）,"Dynamo Or Generator Tender, Oiler & Wiper","Dynamo Atau Penjana Tender, Pengelap dan Pelincir",发电机或发电机投标，涂油雨刮,,0,1.25,1,1,,,,
"Electrical - Power-House, Sub Stations (Generating Over 250 Volts)","Elektrik - Kuasa Rumah, Stesen Sub (Menjana Lebih 250 Volt)",电气 - 发电站，分站（产生超过250伏特）,"Load Dispatcher, Supervisor","Penghantaran, penyelia",负荷分派，主管,,0,1,1,1,,,,
